generator,acc,ap,auc,f_acc,fnr,fpr,r_acc
ADM,96.41666666666666,99.46840498613314,99.39744722222223,94.63333333333334,5.36666666666666,1.7999999999999972,98.2
DALLE2,97.39999999999999,99.75716475645177,99.70649999999999,98.1,1.9000000000000057,3.299999999999997,96.7
Glide,98.34166666666667,99.82541915956806,99.83131388888889,98.6,1.4000000000000057,1.9166666666666714,98.08333333333333
Midjourney,93.54166666666667,98.97142928628028,98.90766388888889,89.03333333333333,10.966666666666669,1.9500000000000028,98.05
VQDM,94.06666666666666,99.1879116478247,99.16183333333333,90.03333333333333,9.966666666666669,1.9000000000000057,98.1
biggan,89.17500000000001,99.28164977085785,99.24957500000001,99.45,0.5499999999999972,21.099999999999994,78.9
coco_sdxl_nw,97.675,99.79454700033669,99.783875,98.8,1.2000000000000028,3.450000000000003,96.55
cyclegan,96.89629068887207,99.84533309052634,99.85530425932686,99.92429977289932,0.07570022710068258,6.13171839515519,93.86828160484481
gaugan,82.47,99.17720799929528,99.27947,100.0,0.0,35.06,64.94
progan,99.9875,99.99996874218164,99.99996875000001,100.0,0.0,0.024999999999991473,99.97500000000001
stable_diffusion_v_1_4,86.075,97.03671874554496,96.87320833333334,73.98333333333333,26.016666666666666,1.8333333333333286,98.16666666666667
stable_diffusion_v_1_5,86.75625,97.30044334802975,97.076771875,75.11250000000001,24.88749999999999,1.5999999999999943,98.4
stargan,99.89994997498749,100.0,100.0,100.0,0.0,0.2001000500250143,99.79989994997499
stylegan,99.42413620430645,99.99588733105121,99.9957678686839,98.88165581705893,1.1183441829410725,0.03338340844599941,99.966616591554
stylegan2,98.40385578367551,99.98475143844436,99.98456153183206,96.84526790185278,3.154732098147221,0.037556334501758215,99.96244366549824
whichfaceisreal,93.05,98.46599762258376,98.355,95.5,4.5,9.399999999999991,90.60000000000001
wukong,83.03333333333333,96.13407570188637,95.888225,67.95,32.05,1.88333333333334,98.11666666666666
