generator,acc,ap,auc,f_acc,fnr,fpr,r_acc
ADM,96.34166666666667,99.51956888110576,99.47610555555556,94.55,5.450000000000003,1.8666666666666742,98.13333333333333
DALLE2,98.15,99.8560647653458,99.8359,98.8,1.2000000000000028,2.5,97.5
Glide,98.38333333333334,99.84511579957446,99.84023055555555,98.53333333333333,1.4666666666666686,1.7666666666666657,98.23333333333333
Midjourney,97.2,99.63461124917676,99.6067,96.23333333333333,3.7666666666666657,1.8333333333333286,98.16666666666667
VQDM,93.40833333333333,99.08256864369835,99.07156388888889,88.51666666666667,11.483333333333334,1.7000000000000028,98.3
biggan,89.325,99.26843368313611,99.219275,99.3,0.7000000000000028,20.650000000000006,79.35
coco_sdxl_nw,98.35000000000001,99.9416677829944,99.9414625,99.7,0.29999999999999716,3.0,97.0
cyclegan,96.63133989401969,99.83309802712017,99.83948801202952,100.0,0.0,6.737320211960636,93.26267978803936
gaugan,82.83,99.50537386675106,99.577634,100.0,0.0,34.34,65.66
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001
stable_diffusion_v_1_4,92.55833333333334,98.62378111245272,98.59178055555556,87.0,13.0,1.88333333333334,98.11666666666666
stable_diffusion_v_1_5,92.90625,98.79108529386482,98.6842328125,87.6375,12.362499999999997,1.8250000000000028,98.175
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873
stylegan,99.34902353530295,99.99820935479707,99.99820294621536,98.71473877482892,1.2852612251710838,0.01669170422300681,99.983308295777
stylegan2,98.87956935403105,99.99537859382099,99.99535325772835,97.78417626439659,2.215823735603408,0.025037556334510214,99.97496244366549
whichfaceisreal,90.2,97.45436924756699,97.0824,90.3,9.700000000000003,9.899999999999991,90.10000000000001
wukong,87.61666666666666,97.50111565340606,97.38930833333333,77.13333333333333,22.866666666666674,1.9000000000000057,98.1
