biggan_r_acc,diffusion_f_acc,gaugan_r_acc,high_res_acc,tail_f_acc,variant,variant_name
79.35,90.75972222222221,65.64,94.01666666666668,87.01041666666666,AF0_full_artifact_features,Full artifact features
98.9,55.7875,97.46000000000001,76.115625,42.81458333333333,AF1_no_codec_block,No codec/block
78.14999999999999,91.15555555555555,63.660000000000004,93.89479166666666,87.62083333333332,AF2_no_chroma_luma,No chroma-luma
79.35,90.75972222222221,65.64,94.01666666666668,87.01041666666666,AF3_no_texture,No texture
79.35,90.75972222222221,65.64,94.01666666666668,87.01041666666666,AF4_no_recompression,No recompression
79.35,90.75972222222221,65.64,94.01666666666668,87.01041666666666,AF5_no_residual_spectrum,No residual spectrum
79.35,90.75972222222221,65.64,94.01666666666668,87.01041666666666,AF6_no_residual_tail,No residual tail
79.35,90.75972222222221,65.64,94.01666666666668,87.01041666666666,AF7_no_patch_heterogeneity,No patch heterogeneity
78.14999999999999,91.15555555555555,63.660000000000004,93.89479166666666,87.62083333333332,AF8_codec_block_only,Codec/block only
98.7,55.7125,96.82,70.92864583333333,36.21041666666667,AF9_spectrum_only,Spectrum only
