generator,acc,ap,auc,f_acc,fnr,fpr,r_acc,variant,variant_name
ADM,96.34166666666667,99.51999468248417,99.47655277777778,94.55,5.450000000000003,1.8666666666666742,98.13333333333333,AF0_full_artifact_features,Full artifact features
DALLE2,98.15,99.8540930399765,99.834,98.8,1.2000000000000028,2.5,97.5,AF0_full_artifact_features,Full artifact features
Glide,98.39166666666667,99.84547509265495,99.84062777777778,98.53333333333333,1.4666666666666686,1.75,98.25,AF0_full_artifact_features,Full artifact features
Midjourney,97.21666666666667,99.63038423597489,99.60297777777778,96.26666666666667,3.7333333333333343,1.8333333333333286,98.16666666666667,AF0_full_artifact_features,Full artifact features
VQDM,93.40833333333333,99.08242283031625,99.07151666666667,88.51666666666667,11.483333333333334,1.7000000000000028,98.3,AF0_full_artifact_features,Full artifact features
biggan,89.325,99.26910463215792,99.219925,99.3,0.7000000000000028,20.650000000000006,79.35,AF0_full_artifact_features,Full artifact features
coco_sdxl_nw,98.35000000000001,99.94171488512454,99.94155,99.7,0.29999999999999716,3.0,97.0,AF0_full_artifact_features,Full artifact features
cyclegan,96.63133989401969,99.83320476503484,99.83960262251718,100.0,0.0,6.737320211960636,93.26267978803936,AF0_full_artifact_features,Full artifact features
gaugan,82.82000000000001,99.50572055998389,99.577862,100.0,0.0,34.36,65.64,AF0_full_artifact_features,Full artifact features
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,AF0_full_artifact_features,Full artifact features
stable_diffusion_v_1_4,92.575,98.6251897437154,98.59299444444444,87.01666666666667,12.983333333333334,1.8666666666666742,98.13333333333333,AF0_full_artifact_features,Full artifact features
stable_diffusion_v_1_5,92.9,98.79152782515035,98.6846234375,87.625,12.375,1.8250000000000028,98.175,AF0_full_artifact_features,Full artifact features
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,AF0_full_artifact_features,Full artifact features
stylegan,99.34902353530295,99.99820918120315,99.99820294621536,98.71473877482892,1.2852612251710838,0.01669170422300681,99.983308295777,AF0_full_artifact_features,Full artifact features
