alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,biggan_r_acc,description,diffusion_text_f_acc,family,gamma,gan_face_translation_acc,gaugan_r_acc,parameter,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,tail_f_acc,target_labels_used_for_selection,threshold,tile_scale,value,variant
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,Fixed anchor beta/alpha/gamma fusion weights.,92.01157407407408,anchor,0.21,94.634671281511,65.66,anchor,1.0,anchor,1.0,1.0,91.21736111111112,False,0.5,1.0,1.0,W0_anchor
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,Source-only selected compact 4-scale fusion weights.,92.01157407407408,learnable_weight,0.21,94.634671281511,65.66,compact_selected,1.0,source_gate_only,1.0,1.0,91.21736111111112,False,0.5,1.0,1.0,W1_source_selected_compact
0.0,0.25,0.4,0.1875,0.3,1.0,0.0,79.95,Tile artifact beta scale.,88.1175925925926,one_factor_compact,0.21,94.44650872517651,67.2,beta_scale,1.0,none,1.0,1.0,85.83194444444445,False,0.5,0.0,0.0,B0_beta_scale_0p00
0.0,0.25,0.4,0.1875,0.3,0.75,0.0625,79.85,Tile artifact beta scale.,89.21481481481482,one_factor_compact,0.21,94.47126992885117,66.67999999999999,beta_scale,1.0,none,1.0,1.0,87.29166666666667,False,0.5,0.25,0.25,B0_beta_scale_0p25
0.0,0.25,0.4,0.1875,0.3,0.5,0.125,79.65,Tile artifact beta scale.,90.22037037037038,one_factor_compact,0.21,94.49674689429935,66.2,beta_scale,1.0,none,1.0,1.0,88.71111111111111,False,0.5,0.5,0.5,B0_beta_scale_0p50
0.0,0.25,0.4,0.1875,0.3,0.25,0.1875,79.5,Tile artifact beta scale.,91.15694444444443,one_factor_compact,0.21,94.53993062823358,65.92,beta_scale,1.0,none,1.0,1.0,89.98263888888887,False,0.5,0.75,0.75,B0_beta_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,Tile artifact beta scale.,92.01157407407408,one_factor_compact,0.21,94.634671281511,65.66,beta_scale,1.0,none,1.0,1.0,91.21736111111112,False,0.5,1.0,1.0,B0_beta_scale_1p00
0.0,0.25,0.4,0.1875,0.3,0.25,0.3125,79.3,Tile artifact beta scale.,92.67777777777776,one_factor_compact,0.21,94.61422895008553,65.28,beta_scale,1.0,none,1.0,1.0,92.1361111111111,False,0.5,1.25,1.25,B0_beta_scale_1p25
0.0,0.25,0.4,0.1875,0.3,0.5,0.375,79.2,Tile artifact beta scale.,93.29027777777777,one_factor_compact,0.21,94.63836192037431,65.02,beta_scale,1.0,none,1.0,1.0,93.03263888888888,False,0.5,1.5,1.5,B0_beta_scale_1p50
0.0,0.25,0.0,0.1875,0.0,2.0,0.25,79.55,Semantic fake-side positive evidence scale.,91.26898148148148,one_factor_compact,0.21,91.61537361916344,66.60000000000001,semantic_pos_scale,1.0,none,1.0,0.0,89.97458333333333,False,0.5,1.0,0.0,A0_semantic_pos_scale_0p00
0.0,0.25,0.1,0.1875,0.075,1.5,0.25,79.5,Semantic fake-side positive evidence scale.,91.63055555555555,one_factor_compact,0.21,92.77339217348407,66.28,semantic_pos_scale,1.0,none,1.0,0.25,90.8963888888889,False,0.5,1.0,0.25,A0_semantic_pos_scale_0p25
0.0,0.25,0.2,0.1875,0.15,1.0,0.25,79.45,Semantic fake-side positive evidence scale.,91.8162037037037,one_factor_compact,0.21,93.92664069492452,66.0,semantic_pos_scale,1.0,none,1.0,0.5,91.09652777777778,False,0.5,1.0,0.5,A0_semantic_pos_scale_0p50
0.0,0.25,0.30000000000000004,0.1875,0.22499999999999998,0.5,0.25,79.4,Semantic fake-side positive evidence scale.,91.91851851851851,one_factor_compact,0.21,94.44734252985936,65.74,semantic_pos_scale,1.0,none,1.0,0.75,91.15555555555555,False,0.5,1.0,0.75,A0_semantic_pos_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,Semantic fake-side positive evidence scale.,92.01157407407408,one_factor_compact,0.21,94.634671281511,65.66,semantic_pos_scale,1.0,none,1.0,1.0,91.21736111111112,False,0.5,1.0,1.0,A0_semantic_pos_scale_1p00
0.0,0.25,0.5,0.1875,0.375,0.5,0.25,79.3,Semantic fake-side positive evidence scale.,92.05555555555556,one_factor_compact,0.21,94.73390294150099,65.56,semantic_pos_scale,1.0,none,1.0,1.25,91.26666666666667,False,0.5,1.0,1.25,A0_semantic_pos_scale_1p25
0.0,0.25,0.6000000000000001,0.1875,0.44999999999999996,1.0,0.25,79.2,Semantic fake-side positive evidence scale.,92.09675925925926,one_factor_compact,0.21,94.70636465583827,65.42,semantic_pos_scale,1.0,none,1.0,1.5,91.31458333333335,False,0.5,1.0,1.5,A0_semantic_pos_scale_1p50
