alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,description,family,gamma,mean_acc,mean_ap,mean_auc,mean_f_acc,mean_fnr,mean_fpr,mean_r_acc,parameter,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,target_labels_used_for_selection,threshold,tile_scale,value,variant
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Fixed anchor beta/alpha/gamma fusion weights.,anchor,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,anchor,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Source-only selected compact 4-scale fusion weights.,learnable_weight,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,compact_selected,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
0.0,0.25,0.4,0.1875,0.3,1.0,0.0,Tile artifact beta scale.,one_factor_compact,0.21,93.9642884196909,99.31305994872616,99.26955010344602,92.53123219082978,7.468767809170227,4.602655351447964,95.39734464855202,beta_scale,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00
0.0,0.25,0.4,0.1875,0.3,0.75,0.0625,Tile artifact beta scale.,one_factor_compact,0.21,94.2221417312241,99.33381476606435,99.29222454414057,93.19987216058833,6.800127839411669,4.755588698140163,95.24441130185984,beta_scale,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
0.0,0.25,0.4,0.1875,0.3,0.5,0.125,Tile artifact beta scale.,one_factor_compact,0.21,94.44479265614088,99.34638075690088,99.30600948425155,93.81973283395132,6.180267166048683,4.930147521669574,95.06985247833043,beta_scale,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
0.0,0.25,0.4,0.1875,0.3,0.25,0.1875,Tile artifact beta scale.,one_factor_compact,0.21,94.64109480544325,99.34925651267531,99.30903982070726,94.38738615216393,5.612613847836071,5.105196541277415,94.89480345872259,beta_scale,1.0,none,1.0,1.0,False,0.5,0.75,0.75,B0_beta_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Tile artifact beta scale.,one_factor_compact,0.21,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,beta_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,B0_beta_scale_1p00
0.0,0.25,0.4,0.1875,0.3,0.25,0.3125,Tile artifact beta scale.,one_factor_compact,0.21,94.85632832945201,99.32963466819191,99.2866780165366,95.34430812885996,4.655691871140043,5.631651469955927,94.36834853004406,beta_scale,1.0,none,1.0,1.0,False,0.5,1.25,1.25,B0_beta_scale_1p25
0.0,0.25,0.4,0.1875,0.3,0.5,0.375,Tile artifact beta scale.,one_factor_compact,0.21,94.83557717821536,99.30542345245068,99.25954472979895,95.73599210089642,4.2640078991035555,6.064837744465732,93.93516225553425,beta_scale,1.0,none,1.0,1.0,False,0.5,1.5,1.5,B0_beta_scale_1p50
0.0,0.25,0.0,0.1875,0.0,2.0,0.25,Semantic fake-side positive evidence scale.,one_factor_compact,0.21,93.35073954627299,97.4556678911226,97.71031872845725,91.45955875838145,8.540441241618556,4.75807966583547,95.24192033416455,semantic_pos_scale,1.0,none,1.0,0.0,False,0.5,1.0,0.0,A0_semantic_pos_scale_0p00
0.0,0.25,0.1,0.1875,0.075,1.5,0.25,Semantic fake-side positive evidence scale.,one_factor_compact,0.21,93.97056690516898,98.44895473875543,98.54506973667878,92.79013996306537,7.209860036934622,4.8490061527274255,95.15099384727259,semantic_pos_scale,1.0,none,1.0,0.25,False,0.5,1.0,0.25,A0_semantic_pos_scale_0p25
0.0,0.25,0.2,0.1875,0.15,1.0,0.25,Semantic fake-side positive evidence scale.,one_factor_compact,0.21,94.52025738584683,99.00576588010944,99.0106151650066,94.03005378165288,5.969946218347127,4.9895390099592065,95.01046099004078,semantic_pos_scale,1.0,none,1.0,0.5,False,0.5,1.0,0.5,A0_semantic_pos_scale_0p50
