generator,acc,alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,ap,auc,beta,description,f_acc,family,fnr,fpr,gamma,parameter,r_acc,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,target_labels_used_for_selection,threshold,tile_scale,value,variant
ADM,96.34166666666667,0.0,0.25,0.4,0.1875,0.3,0.0,99.51956888110576,99.47610555555556,0.25,Fixed anchor beta/alpha/gamma fusion weights.,94.55,anchor,5.450000000000003,1.8666666666666742,0.21,anchor,98.13333333333333,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
DALLE2,98.15,0.0,0.25,0.4,0.1875,0.3,0.0,99.8560647653458,99.8359,0.25,Fixed anchor beta/alpha/gamma fusion weights.,98.8,anchor,1.2000000000000028,2.5,0.21,anchor,97.5,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
Glide,98.38333333333334,0.0,0.25,0.4,0.1875,0.3,0.0,99.84511579957446,99.84023055555555,0.25,Fixed anchor beta/alpha/gamma fusion weights.,98.53333333333333,anchor,1.4666666666666686,1.7666666666666657,0.21,anchor,98.23333333333333,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
Midjourney,97.2,0.0,0.25,0.4,0.1875,0.3,0.0,99.63461124917676,99.6067,0.25,Fixed anchor beta/alpha/gamma fusion weights.,96.23333333333333,anchor,3.7666666666666657,1.8333333333333286,0.21,anchor,98.16666666666667,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
VQDM,93.40833333333333,0.0,0.25,0.4,0.1875,0.3,0.0,99.08256864369835,99.07156388888889,0.25,Fixed anchor beta/alpha/gamma fusion weights.,88.51666666666667,anchor,11.483333333333334,1.7000000000000028,0.21,anchor,98.3,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
biggan,89.325,0.0,0.25,0.4,0.1875,0.3,0.0,99.26843368313611,99.219275,0.25,Fixed anchor beta/alpha/gamma fusion weights.,99.3,anchor,0.7000000000000028,20.650000000000006,0.21,anchor,79.35,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
coco_sdxl_nw,98.35000000000001,0.0,0.25,0.4,0.1875,0.3,0.0,99.9416677829944,99.9414625,0.25,Fixed anchor beta/alpha/gamma fusion weights.,99.7,anchor,0.29999999999999716,3.0,0.21,anchor,97.0,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
cyclegan,96.63133989401969,0.0,0.25,0.4,0.1875,0.3,0.0,99.83309802712017,99.83948801202952,0.25,Fixed anchor beta/alpha/gamma fusion weights.,100.0,anchor,0.0,6.737320211960636,0.21,anchor,93.26267978803936,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
gaugan,82.83,0.0,0.25,0.4,0.1875,0.3,0.0,99.50537386675106,99.577634,0.25,Fixed anchor beta/alpha/gamma fusion weights.,100.0,anchor,0.0,34.34,0.21,anchor,65.66,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
progan,99.9875,0.0,0.25,0.4,0.1875,0.3,0.0,99.99999375156212,99.99999375,0.25,Fixed anchor beta/alpha/gamma fusion weights.,100.0,anchor,0.0,0.024999999999991473,0.21,anchor,99.97500000000001,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
stable_diffusion_v_1_4,92.55833333333334,0.0,0.25,0.4,0.1875,0.3,0.0,98.62378111245272,98.59178055555556,0.25,Fixed anchor beta/alpha/gamma fusion weights.,87.0,anchor,13.0,1.88333333333334,0.21,anchor,98.11666666666666,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
stable_diffusion_v_1_5,92.90625,0.0,0.25,0.4,0.1875,0.3,0.0,98.79108529386482,98.6842328125,0.25,Fixed anchor beta/alpha/gamma fusion weights.,87.6375,anchor,12.362499999999997,1.8250000000000028,0.21,anchor,98.175,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
stargan,99.87493746873437,0.0,0.25,0.4,0.1875,0.3,0.0,100.0,100.0,0.25,Fixed anchor beta/alpha/gamma fusion weights.,100.0,anchor,0.0,0.25012506253126787,0.21,anchor,99.74987493746873,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
stylegan,99.34902353530295,0.0,0.25,0.4,0.1875,0.3,0.0,99.99820935479707,99.99820294621536,0.25,Fixed anchor beta/alpha/gamma fusion weights.,98.71473877482892,anchor,1.2852612251710838,0.01669170422300681,0.21,anchor,99.983308295777,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
stylegan2,98.87956935403105,0.0,0.25,0.4,0.1875,0.3,0.0,99.99537859382099,99.99535325772835,0.25,Fixed anchor beta/alpha/gamma fusion weights.,97.78417626439659,anchor,2.215823735603408,0.025037556334510214,0.21,anchor,99.97496244366549,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
whichfaceisreal,90.2,0.0,0.25,0.4,0.1875,0.3,0.0,97.45436924756699,97.0824,0.25,Fixed anchor beta/alpha/gamma fusion weights.,90.3,anchor,9.700000000000003,9.899999999999991,0.21,anchor,90.10000000000001,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor
