alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,description,family,flip_rate,gamma,mean_score_drift,overall_ba,parameter,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,target_labels_used_for_selection,threshold,tile_scale,value,variant,worst_group_ba
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Fixed anchor beta/alpha/gamma fusion weights.,anchor,0.0,0.21,0.0,100.0,anchor,1.0,anchor,1.0,1.0,False,0.5,1.0,1.0,W0_anchor,100.0
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Source-only selected compact 4-scale fusion weights.,learnable_weight,0.0,0.21,0.0,100.0,compact_selected,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact,100.0
0.0,0.25,0.4,0.1875,0.3,1.0,0.0,Tile artifact beta scale.,one_factor_compact,0.0,0.21,0.00018062791787087917,100.0,beta_scale,1.0,none,1.0,1.0,False,0.5,0.0,0.0,B0_beta_scale_0p00,100.0
0.0,0.25,0.4,0.1875,0.3,0.75,0.0625,Tile artifact beta scale.,one_factor_compact,0.0,0.21,0.00013366936764214188,100.0,beta_scale,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25,100.0
0.0,0.25,0.4,0.1875,0.3,0.5,0.125,Tile artifact beta scale.,one_factor_compact,0.0,0.21,8.810230792732909e-05,100.0,beta_scale,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50,100.0
0.0,0.25,0.4,0.1875,0.3,0.25,0.1875,Tile artifact beta scale.,one_factor_compact,0.0,0.21,4.36348382208962e-05,100.0,beta_scale,1.0,none,1.0,1.0,False,0.5,0.75,0.75,B0_beta_scale_0p75,100.0
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Tile artifact beta scale.,one_factor_compact,0.0,0.21,0.0,100.0,beta_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,B0_beta_scale_1p00,100.0
0.0,0.25,0.4,0.1875,0.3,0.25,0.3125,Tile artifact beta scale.,one_factor_compact,0.0,0.21,4.3046580685768276e-05,100.0,beta_scale,1.0,none,1.0,1.0,False,0.5,1.25,1.25,B0_beta_scale_1p25,100.0
0.0,0.25,0.4,0.1875,0.3,0.5,0.375,Tile artifact beta scale.,one_factor_compact,0.0,0.21,8.573006925871596e-05,100.0,beta_scale,1.0,none,1.0,1.0,False,0.5,1.5,1.5,B0_beta_scale_1p50,100.0
0.0,0.25,0.0,0.1875,0.0,2.0,0.25,Semantic fake-side positive evidence scale.,one_factor_compact,0.0007,0.21,0.01146493200212717,99.93,semantic_pos_scale,1.0,none,1.0,0.0,False,0.5,1.0,0.0,A0_semantic_pos_scale_0p00,97.20670391061452
