generator,acc,ap,auc,f_acc,fnr,fpr,r_acc,variant,variant_name
ADM,93.69166666666666,98.15266934174588,98.01843055555555,92.85,7.150000000000006,5.466666666666669,94.53333333333333,A0_whole_artifact,Whole artifact only
DALLE2,94.35,99.46322195321629,99.43260000000001,98.8,1.2000000000000028,10.099999999999994,89.9,A0_whole_artifact,Whole artifact only
Glide,96.175,99.24241603080785,99.41975277777779,98.4,1.5999999999999943,6.049999999999997,93.95,A0_whole_artifact,Whole artifact only
Midjourney,71.925,83.73223860117801,83.03603194444445,49.833333333333336,50.166666666666664,5.983333333333334,94.01666666666667,A0_whole_artifact,Whole artifact only
VQDM,94.74166666666667,98.47909084012059,98.81762499999999,95.58333333333333,4.416666666666671,6.1000000000000085,93.89999999999999,A0_whole_artifact,Whole artifact only
biggan,74.375,86.16448512988025,87.67685,96.85000000000001,3.1499999999999915,48.1,51.9,A0_whole_artifact,Whole artifact only
coco_sdxl_nw,81.85,90.36429075095592,89.80805,76.44999999999999,23.55000000000001,12.75,87.25,A0_whole_artifact,Whole artifact only
cyclegan,83.6109008327025,94.65724166751289,95.26045519847385,98.63739591218774,1.362604087812258,31.415594246782746,68.58440575321725,A0_whole_artifact,Whole artifact only
gaugan,67.28,71.26405125563281,76.657898,96.64,3.3599999999999994,62.08,37.92,A0_whole_artifact,Whole artifact only
progan,95.35,99.09818013113477,99.1191875,96.2,3.799999999999997,5.5,94.5,A0_whole_artifact,Whole artifact only
stable_diffusion_v_1_4,76.45833333333333,89.76760488560977,89.83674027777778,58.733333333333334,41.266666666666666,5.816666666666663,94.18333333333334,A0_whole_artifact,Whole artifact only
stable_diffusion_v_1_5,77.26875,90.36310052787783,90.15080546875,59.9375,40.0625,5.400000000000006,94.6,A0_whole_artifact,Whole artifact only
stargan,99.22461230615308,99.91346649501929,99.92174676632963,99.49974987493746,0.5002501250625357,1.050525262631325,98.94947473736867,A0_whole_artifact,Whole artifact only
stylegan,91.82106493072942,97.81360978474613,97.55505956871099,88.43264897346019,11.56735102653981,4.790519112001334,95.20948088799867,A0_whole_artifact,Whole artifact only
stylegan2,94.07861792689035,98.60799096616329,98.6157535000548,92.28843264897347,7.711567351026531,4.131196795192793,95.86880320480721,A0_whole_artifact,Whole artifact only
whichfaceisreal,63.4,65.69845438066659,72.71849999999999,55.1,44.9,28.299999999999997,71.7,A0_whole_artifact,Whole artifact only
wukong,75.85,89.35789063504632,89.18893333333332,57.36666666666667,42.63333333333333,5.666666666666657,94.33333333333334,A0_whole_artifact,Whole artifact only
ADM,87.40833333333333,96.43968170975758,95.85758611111112,93.4,6.599999999999994,18.58333333333333,81.41666666666667,A1_artifact,Artifact only
DALLE2,89.2,99.3584773082051,99.2839,99.2,0.7999999999999972,20.799999999999997,79.2,A1_artifact,Artifact only
Glide,89.925,98.91539092513592,98.91554722222222,98.76666666666667,1.2333333333333343,18.91666666666667,81.08333333333333,A1_artifact,Artifact only
