biggan_r_acc,diffusion_f_acc,gaugan_r_acc,high_res_acc,tail_f_acc,variant,variant_name
79.35,90.75902777777776,65.66,94.01822916666667,87.00104166666667,RP0_full_residual_prior,Full residual prior
85.1,75.06527777777778,71.38,83.33645833333334,60.91041666666666,RP1_no_residual,No residual
67.25,92.53125,55.84,94.80416666666667,93.94270833333333,RP2_residual_only,Residual only
56.85,95.77569444444443,41.44,94.6390625,93.834375,RP3_artifact_residual,Artifact + residual
96.6,54.293055555555554,90.60000000000001,67.44114583333334,31.38958333333333,RP4_semantic_residual,Semantic + residual
85.1,75.06527777777778,71.38,83.33645833333334,60.91041666666666,RP6_gamma_scale_0p00,Gamma scale 0.00
82.0,86.00069444444443,68.26,91.15052083333333,79.31354166666668,RP6_gamma_scale_0p50,Gamma scale 0.50
79.35,90.75902777777776,65.66,94.01822916666667,87.00104166666667,RP6_gamma_scale_1p00,Gamma scale 1.00
77.2,92.4548611111111,64.25999999999999,94.9609375,89.85729166666667,RP6_gamma_scale_1p50,Gamma scale 1.50
75.94999999999999,93.14583333333333,63.1,95.34479166666667,91.16874999999999,RP6_gamma_scale_2p00,Gamma scale 2.00
