accepted,alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,fake_brier,fake_logloss,fake_margin,gamma,real_brier,real_logloss,real_margin,residual_scale,semantic_neg_scale,semantic_pos_scale,source_ap,source_auc,source_ba,source_brier,source_flip_rate,source_logloss,source_margin,source_mean_score_drift,target_labels_used_for_selection,tile_scale,variant
False,0.0,0.15000000000000002,0.15000000000000002,0.11249999999999999,0.11249999999999999,1.0,0.15000000000000002,0.001703130280641527,0.023323844189139083,4.2959339058674875,0.09,0.0023889720319968887,0.031387475668523845,3.926907383572217,0.75,0.75,0.75,99.99997599659594,99.999976,99.975,0.0020460511563192073,0.0003,0.027355659928831464,4.1114206447198525,0.01338400412350893,False,0.75,b0p75_sp0p75_sn0p75_g0p75
False,0.0,0.15000000000000002,0.15000000000000002,0.11249999999999999,0.11249999999999999,0.75,0.15000000000000002,0.001227450843232396,0.017770470930771876,4.649530807158351,0.12,0.0015949556121351177,0.024043301122234767,4.250025460010581,1.0,0.75,0.75,99.9999880008993,99.999988,99.975,0.0014112032276837568,0.0003,0.020906886026503323,4.4497781335844655,0.007306922692805529,False,0.75,b0p75_sp0p75_sn0p75_g1p00
False,0.0,0.15000000000000002,0.15000000000000002,0.11249999999999999,0.11249999999999999,1.0,0.15000000000000002,0.0009423809789310994,0.013779538144119627,5.003127800808102,0.15,0.001107330657667098,0.01863719792872543,4.573143517448381,1.25,0.75,0.75,99.9999940009997,99.999994,99.985,0.0010248558182990987,0.0002,0.01620836803642253,4.788135659128241,0.002987999003380537,False,0.75,b0p75_sp0p75_sn0p75_g1p25
False,0.0,0.15000000000000002,0.15000000000000002,0.11249999999999999,0.11249999999999999,1.25,0.15000000000000002,0.0007658239839928166,0.010893598613114201,5.356724610554427,0.18,0.0008018010859238725,0.01463674558783265,4.896261594501882,1.5,0.75,0.75,99.99999699999998,99.999997,99.985,0.0007838125349583445,0.0002,0.012765172100473425,5.126493102528155,0.002606128342449665,False,0.75,b0p75_sp0p75_sn0p75_g1p50
False,0.0,0.15000000000000002,0.15000000000000002,0.11249999999999999,0.11249999999999999,1.5,0.15000000000000002,0.000652128068151754,0.008789975988246624,5.710321625903249,0.21,0.0006052356409881452,0.011655885094465005,5.219379633049295,1.75,0.75,0.75,99.99999699999998,99.999997,99.985,0.0006286818545699496,0.0002,0.010222930541355814,5.464850629476271,0.004159079398959875,False,0.75,b0p75_sp0p75_sn0p75_g1p75
False,0.0,0.15000000000000002,0.15000000000000002,0.11249999999999999,0.11249999999999999,1.75,0.15000000000000002,0.0005760150794766193,0.007242147556150668,6.063918696641549,0.24,0.0004750086735786092,0.009416404917336797,5.542497690472007,2.0,0.75,0.75,99.99999800009999,99.999998,99.985,0.0005255118765276144,0.0002,0.008329276236743732,5.803208193556778,0.005664610303938389,False,0.75,b0p75_sp0p75_sn0p75_g2p00
False,0.0,0.2,0.15000000000000002,0.15,0.11249999999999999,0.75,0.15000000000000002,0.0017039002312078896,0.023327494236811457,4.295901781371981,0.09,0.0011598113402663595,0.020044453588491825,4.4194705502576195,0.75,1.0,0.75,99.99998899969917,99.999989,99.97999999999999,0.0014318557857371246,0.00025,0.021685973912651646,4.3576861658148,0.008079180493950844,False,0.75,b0p75_sp0p75_sn1p00_g0p75
False,0.0,0.2,0.15000000000000002,0.15,0.11249999999999999,0.5,0.15000000000000002,0.0012278341856849942,0.017772987706041445,4.649498682591319,0.12,0.0007831057991361913,0.015369574836118201,4.7425885899407785,1.0,1.0,0.75,99.99999400059991,99.999994,99.985,0.0010054699924105929,0.0002,0.016571281271079822,4.696043636266049,0.003289868589490652,False,0.75,b0p75_sp0p75_sn1p00_g1p00
False,0.0,0.2,0.15000000000000002,0.15,0.11249999999999999,0.75,0.15000000000000002,0.0009425642273238207,0.013781250956729614,5.003095676002651,0.15,0.0005527744936850786,0.011937665491979985,5.065706664670631,1.25,1.0,0.75,99.99999699999998,99.999997,99.985,0.0007476693605044497,0.0002,0.0128594582243548,5.034401170336642,0.0031048355158418417,False,0.75,b0p75_sp0p75_sn1p00_g1p25
False,0.0,0.2,0.15000000000000002,0.15,0.11249999999999999,1.0,0.15000000000000002,0.0007659090940311054,0.010894753592601154,5.356692486249655,0.18,0.0004081207423545269,0.009401493666045365,5.388824720875173,1.5,1.0,0.75,99.99999699999998,99.999997,99.985,0.0005870149181928162,0.0002,0.01014812362932326,5.372758603562414,0.004116273485124111,False,0.75,b0p75_sp0p75_sn1p00_g1p50
